f(Hz),Zc(%)
48,16
48,16
48,16
48,16
48,16
48,16
48,16
48,16
48,16
48,16
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
48,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,64
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
42,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
38,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,74
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
44,31
54,31
54,31
54,31
54,31
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
54,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,76
47,99
47,99
47,99
47,99
47,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,99
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
36,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
39,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,40
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
58,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
55,37
37,37
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,86
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
37,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
46,76
